,uid,info,stars,categ,bt_coin,bt_days,bt_l_adg,bt_s_adg,long,l_AU,l_gspan,l_TP,short,s_AU,s_gspan,s_TP
436,56ed1,/flyingtoaster/1s/0.1.4_40%grid_1sdata_auenabled_longshort/MATICUSDT_20220825174433_b9737,7.0,flyingtoaster,MATICUSDT,658,0.372,0.116,True,True,43.0,0.2% /0.3%/,True,True,46.0,0.2% /0.27%/
216,a7a75,/flyingtoaster/1m/test_phase/tight_02_auenabled/ADAUSDT_20220818034828_7800f,6.0,flyingtoaster,ADAUSDT,914,0.372,0.158,True,True,10.0,0.3% /0.15%/,True,True,26.0,0.3% /0%/
207,f3141,/flyingtoaster/1m/test_phase/tight_02_auenabled/SANDUSDT_20220818034828_7800f,6.0,flyingtoaster,SANDUSDT,554,0.372,0.157,True,True,30.0,0.3% /0.18%/,True,True,37.0,0.3% /0.18%/
56,ee751,/MDCL/Update_0.2.3/SANDUSDT_20220804003736_fef8f,6.0,MDCL,SANDUSDT,553,0.371,0.168,True,True,29.0,0.2% /0.3%/,True,True,34.0,0.2% /0.3%/
310,8f40f,/flyingtoaster/1m/hardcore_scalp/ENJUSDT_20220811210818_adb85,5.0,flyingtoaster,ENJUSDT,672,0.368,0.216,True,True,10.0,0.3% /0.1%/,True,True,18.0,0.3% /0.16%/
75,1e974,/flyingtoaster/1m/mdcl_hardcore_scalp/DOTUSDT_20220818203915_b4260,5.0,flyingtoaster,DOTUSDT,710,0.368,0.263,True,True,12.0,0.3% /0.19%/,True,True,18.0,0.3% /0.2%/
73,d7aac,/flyingtoaster/1m/mdcl_hardcore_scalp/HNTUSDT_20220818203915_b4260,5.0,flyingtoaster,HNTUSDT,673,0.367,0.202,True,True,13.0,0.3% /0.2%/,True,True,18.0,0.3% /0.18%/
72,839fe,/flyingtoaster/1m/mdcl_hardcore_scalp/NEARUSDT_20220818203915_b4260,5.0,flyingtoaster,NEARUSDT,656,0.363,0.191,True,True,14.0,0.3% /0.2%/,True,True,18.0,0.3% /0.18%/
158,3284d,/flyingtoaster/1m/audisabled/1.8/MANAUSDT_20220729034019_65741,5.0,flyingtoaster,MANAUSDT,496,0.361,0.53,True,False,38.0,0.2% /1.5%/,True,False,10.0,0.3% /0.2%/
31,fee62,/MDCL/Update_0.2.1/SANDUSDT_0.2.1,6.0,MDCL,SANDUSDT,540,0.36,0.195,True,True,31.0,0.28% /0.2%/,True,True,34.0,0.29% /0.17%/
37,97472,/MDCL/Update_0.1/ADAUSDT_0.1,7.0,MDCL,ADAUSDT,892,0.36,0.0676,True,True,35.0,0.49% /0.2%/,True,True,47.0,0.5% /0.19%/
252,463e0,/flyingtoaster/1m/test_phase/0.2_mediumrisk/SOLUSDT_20220814082811_1a832,8.0,flyingtoaster,SOLUSDT,687,0.358,0.123,True,True,48.0,0.3% /0.13%/,True,True,56.0,0.27% /0.17%/
45,c120f,/MDCL/Update_0.2.3/SOLUSDT_20220805110939_7de7b,7.0,MDCL,SOLUSDT,686,0.357,0.138,True,True,26.0,0.2% /0.24%/,True,True,49.0,0.2% /0.3%/
172,e9e5d,/flyingtoaster/1m/audisabled/1.4/MANAUSDT_20220721074803_ad155,4.0,flyingtoaster,MANAUSDT,482,0.355,0.381,True,False,14.0,0.2% /0.11%/,True,False,15.0,0.33% /0.42%/
311,4ea5a,/flyingtoaster/1m/hardcore_scalp/XRPUSDT_20220811210818_adb85,5.0,flyingtoaster,XRPUSDT,939,0.355,0.169,True,True,12.0,0.3% /0.2%/,True,True,15.0,0.3% /0.18%/
34,03673,/MDCL/Update_0.1/ATOMUSDT_0.1,7.0,MDCL,ATOMUSDT,885,0.353,0.136,True,True,42.0,0.5% /0.16%/,True,True,32.0,0.47% /0.09%/
39,a0c33,/MDCL/Update_0.1/MATICUSDT_0.1,6.0,MDCL,MATICUSDT,627,0.353,0.103,True,False,15.0,0.44% /0.19%/,True,True,52.0,0.49% /0.18%/
3,f0303,/dotcom87/v0.1/CHZUSDT_20220730064655_4661b,6.0,dotcom87,CHZUSDT,553,0.35,0.226,True,True,33.0,0.2% /0.28%/,True,True,27.0,0.2% /0.27%/
393,5c4db,/flyingtoaster/1s/0.1.2_auenabled_longshort/SANDUSDT_20220805010112_a7190,6.0,flyingtoaster,SANDUSDT,552,0.345,0.134,True,True,26.0,0.2% /0.3%/,True,True,43.0,0.2% /0.3%/
456,a7110,/flyingtoaster/1s/0.1.3_1sdata_auenabled_longshort/MATICUSDT_20220820181033_83a53,6.0,flyingtoaster,MATICUSDT,658,0.345,0.103,True,True,30.0,0.15% /0.18%/,True,True,42.0,0.15% /0.2%/
298,5c4db,/flyingtoaster/1m/0.1.2_auenabled_longshort/SANDUSDT_20220805010112_a7190,6.0,flyingtoaster,SANDUSDT,552,0.345,0.134,True,True,26.0,0.2% /0.3%/,True,True,43.0,0.2% /0.3%/
232,c72e9,/flyingtoaster/1m/test_phase/harcore_scalp_0.1/DOTUSDT_20220811094442_bb7b5,5.0,flyingtoaster,DOTUSDT,710,0.344,0.212,True,True,12.0,0.3% /0.14%/,True,True,17.0,0.3% /0.17%/
74,25f68,/flyingtoaster/1m/mdcl_hardcore_scalp/ATOMUSDT_20220818203915_b4260,5.0,flyingtoaster,ATOMUSDT,907,0.342,0.308,True,True,12.0,0.3% /0.13%/,True,True,10.0,0.3% /0.19%/
181,911d6,/flyingtoaster/1m/audisabled/1.5/DYDXUSDT_20220723093109_e541e,4.0,flyingtoaster,DYDXUSDT,315,0.341,1.03,True,False,22.0,0.2% /1.78%/,True,False,12.0,0.9% /2.56%/
339,ca119,/flyingtoaster/1s/testing/0.1.6_40%grid_1sdata_auenabled_longshort_testphase/MATICUSDT_20220903234114_c3309,7.0,flyingtoaster,MATICUSDT,678,0.341,0.117,True,True,46.0,4.63% /2.1%/,True,True,40.0,2.04% /0.61%/
